Name,Position,Salary
Orlando Arcia,2B,"$1,600,000"
Tom Murphy,C,"$1,575,000"
Adam Cimber,RP,"$1,575,000"
Phil Maton,RP,"$1,550,000"
Hunter Barco,SP,"$1,525,000"
Jose Alvarez,RP,"$1,500,000"
Ehire Adrianza,SS,"$1,500,000"
Jay Jackson,RP,"$1,500,000"
Adan Sanchez,C,"$1,500,000"
Steven Brault,RP,"$1,500,000"
Jorge Lopez,RP,"$1,500,000"
Sean Doolittle,RP,"$1,500,000"
Peyton Pallette,SP,"$1,500,000"
Zach Davies,SP,"$1,500,000"
Reyes Moronta,RP,"$1,500,000"
Karson Milbrandt,SP,"$1,500,000"
Willy Fana,OF,"$1,500,000"
Matt Duffy,3B,"$1,500,000"
Spencer Turnbull,SP,"$1,500,000"
Cole Phillips,P,"$1,497,500"
Caden Dana,P,"$1,497,500"
Francisco Mejia,C,"$1,455,000"
Wander Franco,SS,"$1,454,545"
Tyler Matzek,RP,"$1,400,000"
Brett Phillips,CF,"$1,400,000"
Ivan Melendez,1B,"$1,400,000"
Jordan Luplow,OF,"$1,400,000"
Ryan Brasier,RP,"$1,400,000"
Victor Reyes,RF,"$1,400,000"
Johan Barrios,SS,"$1,385,000"
Dylan Moore,2B,"$1,350,000"
Hanser Alberto,2B,"$1,350,000"
Carter Young,SS,"$1,325,000"
Elieser Hernandez,RP,"$1,325,000"
Tim Hill,RP,"$1,325,000"
Douglas Glod,OF,"$1,300,000"
Alexis Hernandez,SS,"$1,300,000"
Parker Messick,SP,"$1,300,000"
Luis Baez,OF,"$1,300,000"
Miguel Andujar,3B,"$1,300,000"
Caleb Thielbar,RP,"$1,300,000"
Michael Arroyo,SS,"$1,300,000"
Martin Gonzalez,SS,"$1,300,000"
Ryan O'Hearn,1B,"$1,300,000"
Yendry Rojas,SS,"$1,300,000"
Bradley Zimmer,CF,"$1,300,000"
Robert Stephenson,RP,"$1,280,000"
Tyler Locklear,1B,"$1,276,500"
Harold Castro,3B,"$1,275,000"
Ryan Clifford,LF,"$1,256,530"
Luis Garcia,SP,"$1,251,500"
Walter Ford,P,"$1,250,000"
Kyle Crick,RP,"$1,250,000"
Adam Mazur,SP,"$1,250,000"
Nick Senzel,CF,"$1,250,000"
Lucas Sims,RP,"$1,250,000"
Tim Mayza,RP,"$1,250,000"
Jhonny Severino,SS,"$1,230,000"
Samuel Gil,SS,"$1,200,000"
Adam Maier,P,"$1,200,000"
Jaison Chourio,OF,"$1,200,000"
Victor Izturis,C,"$1,200,000"
Jacob Zibin,P,"$1,200,000"
Josh Naylor,1B,"$1,200,000"
Yordany De Los Santos,SS,"$1,200,000"
Luis Torrens,C,"$1,200,000"
Carlos Pacheco,OF,"$1,200,000"
Jon Berti,3B,"$1,200,000"
Freili Encarnacion,SS,"$1,200,000"
Christian Arroyo,2B,"$1,200,000"
Jose DeJesus,OF,"$1,200,000"
Randy de Jesus,OF,"$1,200,000"
Drew Thorpe,SP,"$1,187,600"
Marwin Gonzalez,3B,"$1,150,000"
Joey Lucchesi,SP,"$1,150,000"
Juan Perez,C,"$1,100,000"
Luis Lara,OF,"$1,100,000"
Clay Holmes,RP/CL,"$1,100,000"
Ashton Izzi,P,"$1,100,000"
Brycen Mautz,SP,"$1,100,000"
Abdias de la Cruz,SS,"$1,100,000"
Fraymi De Leon,SS,"$1,100,000"
Brock Jones,RF,"$1,077,600"
Tanner Scott,RP,"$1,050,000"
Taylor Hearn,RP,"$1,050,000"
Logan Tanner,C,"$1,030,500"
Jud Fabian,CF,"$1,026,800"
Casey Sadler,RP,"$1,025,000"
Tyler Kinley,RP,"$1,025,000"
Josh Taylor,RP,"$1,025,000"
Brett Martin,RP,"$1,025,000"
Tanner Schobel,SS,"$1,002,000"
Josh Kasevich,3B,"$1,000,000"
Trevor Richards,RP,"$1,000,000"
Guillermo Heredia,CF,"$1,000,000"
Darren O'Day,RP,"$1,000,000"
Kirby Yates,RP,"$1,000,000"
Nazier Mule,RP,"$1,000,000"
Jefferson Rojas,SS,"$1,000,000"
Jacob Melton,CF,"$1,000,000"
Michael Kennedy,SP,"$1,000,000"
Sandy Leon,C,"$1,000,000"
Brenner Cox,OF,"$1,000,000"
Erick Hernandez,OF,"$1,000,000"
Nick Morabito,2B,"$1,000,000"
Ben Joyce,RP,"$1,000,000"
Jake Madden,RP,"$997,500"
Daniel Coulombe,RP,"$979,500"
Taylor Clarke,RP,"$975,000"
Stephen Vogt,C,"$950,000"
Jeffrey Springs,SP,"$947,500"
Andres Munoz,RP,"$937,500"
Jordan Hicks,RP,"$937,500"
Kyle Higashioka,C,"$935,000"
Jonathan Cannon,SP,"$925,000"
Austin Adams,RP,"$925,000"
Jeff Hoffman,RP,"$925,000"
Lucas Luetge,RP,"$905,000"
Christopher Paciolla,SS,"$900,000"
Luke Maile,C,"$900,000"
Tony Blanco Jr.,OF,"$900,000"
Robinson Chirinos,C,"$900,000"
Clark Elliott,RF,"$900,000"
Victor Arano,RP,"$900,000"
Yeral Nin,SS,"$900,000"
Jason Adam,RP,"$900,000"
Maykol Mu̱oz,3B,"$900,000"
Brandon Drury,3B,"$900,000"
Tomas Nido,C,"$890,000"
Austin Voth,SP,"$875,000"
Luis Guillorme,2B,"$875,000"
Tanner Rainey,RP,"$860,000"
Ryan Borucki,RP,"$850,000"
Justin Boyd,OF,"$850,000"
Buck Farmer,RP,"$850,000"
Nick Anderson,RP,"$845,000"
John Brebbia,RP,"$837,500"
Cade Doughty,2B,"$833,600"
Bo Bichette,SS,"$825,000"
Matt Bush,RP,"$825,000"
Franchy Cordero,1B,"$825,000"
Deolis Guerra,RP,"$815,000"
Andrew Taylor,SP,"$807,200"
Josue Brice̱o,C,"$800,000"
Heison Sanchez,SS,"$800,000"
Miguel Diaz,RP,"$800,000"
Andrew Vasquez,RP,"$800,000"
Robert Moore,2B,"$800,000"
Joe Lampe,CF,"$800,000"
Rafael Ramirez,SS,"$800,000"
Josh James,RP,"$800,000"
Cesar Gonzalez,C,"$800,000"
Juan Olmos,C,"$800,000"
Henry Ramos,OF,"$800,000"
Keynan Middleton,RP,"$800,000"
Dan Vogelbach,DH,"$800,000"
Henry Williams,SP,"$800,000"
Rob Refsnyder,RF,"$800,000"
Anthony Bemboom,C,"$780,000"
Carson Palmquist,RP,"$775,000"
Jacob Reimer,3B,"$775,000"
Jack Brannigan,3B,"$770,700"
Yordan Alvarez,DH,"$764,600"
Kyle Tucker,RF,"$764,200"
Peter Lambert,SP,"$762,500"
Jonathan India,2B,"$760,000"
Trey Lipscomb,3B,"$758,900"
Jake Cronenworth,2B,"$757,200"
Colby Thomas,RF,"$750,000"
Dylan Cease,SP,"$750,000"
Cesar Vargas,P,"$750,000"
Ty Blach,RP,"$750,000"
Ruben Santana,SS,"$750,000"
Yoffry Solano,SS,"$750,000"
Ryan Cermak,RF,"$750,000"
Chandler Simpson,2B,"$750,000"
Jalen Beeks,RP,"$750,000"
Drew Smith,RP,"$750,000"
Cristian Javier,SP,"$749,100"
Jose Urquidy,SP,"$748,700"
Zac Gallen,SP,"$745,600"
Alec Mills,SP,"$741,250"
Rafael Ortega,DH,"$738,500"
Ty France,1B,"$734,500"
Codi Heuer,RP,"$734,000"
Josh Rojas,3B,"$730,900"
Abraham Toro,3B,"$730,300"
Alek Manoah,SP,"$730,000"
Tyler Rogers,RP,"$730,000"
LaMonte Wade Jr.,LF,"$730,000"
Logan Webb,SP,"$730,000"
Patrick Wisdom,3B,"$730,000"
Ranger Suarez,SP,"$730,000"
Dustin May,SP,"$730,000"
Will Smith,C,"$730,000"
Michael Kopech,SP,"$730,000"
Jaime Barria,RP,"$730,000"
Griffin Canning,SP,"$730,000"
Jared Walsh,1B,"$730,000"
Trent Grisham,CF,"$729,300"
Zack Collins,DH,"$728,400"
Josh Staumont,RP,"$728,000"
Harold Ramirez,RF,"$728,000"
Nestor Cortes,SP,"$727,500"
Austin Nola,C,"$726,900"
Caleb Ferguson,RP,"$726,500"
Brady Singer,SP,"$726,250"
Kyle Finnegan,RP/CL,"$725,900"
Trevor Gott,RP,"$725,000"
Seranthony Dominguez,RP,"$725,000"
Sean Murphy,C,"$725,000"
JT Brubaker,SP,"$725,000"
Mitch Keller,SP,"$725,000"
Duane Underwood,RP,"$725,000"
Rowan Wick,RP,"$724,000"
Lane Thomas,CF,"$723,600"
Santiago Espinal,2B,"$723,550"
Tommy Edman,SS,"$722,900"
Pavin Smith,RF,"$722,900"
Michael King,RP,"$722,500"
Ryan Helsley,RP/CL,"$722,450"
Gregory Soto,RP,"$722,400"
Reese McGuire,C,"$722,400"
Trevor Rogers,SP,"$722,000"
Daulton Varsho,CF,"$721,700"
Nabil Crismatt,RP,"$721,500"
Cody Stashak,RP,"$720,400"
Taylor Ward,RF,"$720,000"
Jonathan Hernandez,RP,"$720,000"
Dennis Santana,RP,"$720,000"
Nick Solak,LF,"$720,000"
Kyle Wright,SP,"$720,000"
Huascar Ynoa,SP,"$720,000"
Jose Trevino,C,"$720,000"
Nico Hoerner,SS,"$720,000"
Anthony Gonsolin,SP,"$720,000"
Victor Gonzalez,RP,"$720,000"
Brusdar Graterol,RP,"$720,000"
Gavin Lux,2B,"$720,000"
Evan Phillips,RP/CL,"$720,000"
Alex Vesia,RP,"$720,000"
Jose Ruiz,RP,"$720,000"
Garrett Whitlock,RP,"$720,000"
Jo Adell,RF,"$720,000"
Tejay Antone,RP,"$720,000"
Jimmy Herget,RP,"$720,000"
Aristides Aquino,RF,"$720,000"
Justin Dunn,SP,"$720,000"
Jose Quijada,RP,"$720,000"
Tyler Stephenson,C,"$720,000"
Patrick Sandoval,SP,"$720,000"
Jose Suarez,SP,"$720,000"
Bryan Abreu,RP,"$719,600"
Andrew Knizner,C,"$718,300"
Adbert Alzolay,RP,"$718,250"
Jazz Chisholm,2B,"$718,000"
Jorge Alcala,RP,"$717,900"
Sean Reid-Foley,RP,"$717,500"
Sean Poppen,RP,"$717,400"
Brad Wieck,RP,"$717,000"
Joe Mantiply,RP,"$717,000"
Tyler Alexander,SP,"$716,900"
Aaron Civale,SP,"$716,900"
Randy Arozarena,LF,"$716,600"
Nick Madrigal,2B,"$716,500"
Cedric Mullins,CF,"$716,500"
Paolo Espino,SP,"$716,200"
Nate Lowe,1B,"$716,000"
Tanner Houck,RP,"$716,000"
Edmundo Sosa,SS,"$715,600"
Thairo Estrada,2B,"$715,000"
Mauricio Dubon,CF,"$715,000"
Alec Bohm,3B,"$715,000"
Connor Brogdon,RP,"$715,000"
David Bednar,RP/CL,"$715,000"
Blake Cederlind,RP,"$715,000"
Wil Crowe,RP,"$715,000"
Bryse Wilson,SP,"$715,000"
Garrett Crochet,RP,"$715,000"
Andrew Vaughn,DH,"$715,000"
Jesus Luzardo,SP,"$715,000"
Anthony Misiewicz,RP,"$714,900"
Devin Williams,RP/CL,"$714,500"
James Karinchak,RP,"$714,500"
Pete Fairbanks,RP/CL,"$714,400"
Jake Woodford,RP,"$714,350"
Casey Mize,SP,"$714,200"
Brock Burke,RP,"$714,000"
Dane Dunning,SP,"$714,000"
Alejandro Kirk,C,"$714,000"
Adolis Garcia,RF,"$714,000"
Jonah Heim,C,"$714,000"
John King,RP,"$714,000"
Josh Sborz,RP,"$714,000"
Eli White,OF,"$714,000"
Yadiel Hernandez,LF,"$714,000"
Danny Mendick,2B,"$714,000"
Bobby Dalbec,1B,"$714,000"
Kris Bubic,SP,"$713,750"
Humberto Castellanos,SP,"$713,700"
Tarik Skubal,SP,"$713,600"
Carter Kieboom,3B,"$713,400"
Ryan Jeffers,C,"$713,050"
Austin Hays,LF,"$713,000"
Anthony Bender,RP,"$713,000"
Clarke Schmidt,RP,"$712,500"
Sergio Alcantara,3B,"$712,500"
Brooks Brannon,C,"$712,500"
Logan Gilbert,SP,"$712,300"
Drew Rasmussen,SP,"$711,800"
Erik Swanson,RP,"$711,600"
Dillon Tate,RP,"$711,500"
Yohan Ramirez,RP,"$711,400"
Shane McClanahan,SP,"$711,400"
Jake Brentz,RP,"$711,250"
Tyrone Taylor,CF,"$711,100"
Ryan Mountcastle,1B,"$711,000"
Jake Meyers,OF,"$710,500"
Tyler Zuber,RP,"$710,500"
J.T. Chargois,RP,"$710,500"
Eric Haase,C,"$710,400"
Jordan Romano,RP/CL,"$710,400"
Kyle Funkhouser,RP,"$710,200"
Tucker Davidson,SP,"$710,000"
Reid Detmers,SP,"$710,000"
Chris Rodriguez,SP,"$710,000"
William Contreras,C,"$710,000"
Spencer Strider,SP,"$710,000"
Brandon Marsh,LF,"$710,000"
Paul Blackburn,SP,"$710,000"
Cristian Pache,CF,"$710,000"
Austin Gomber,RP,"$710,000"
Brendan Rodgers,2B,"$710,000"
Garrett Cleavinger,RP,"$710,000"
Jake Fraley,LF,"$710,000"
Keegan Akin,RP,"$709,500"
Jorge Mateo,SS,"$709,500"
Akil Baddoo,CF,"$709,400"
Steven Okert,RP,"$709,000"
Jesus Sanchez,CF,"$709,000"
Joel Payamps,RP,"$708,750"
Carlos Hernandez,RP,"$708,750"
J.P. Feyereisen,RP,"$708,600"
Alex Kirilloff,OF,"$708,250"
Andres Machado,RP,"$708,200"
Vladimir Gutierrez,SP,"$707,500"
Tayler Saucedo,RP,"$707,500"
Joey Bart,C,"$707,500"
Albert Abreu,RP,"$707,500"
Tylor Megill,RP,"$707,500"
Josh Fleming,RP,"$707,400"
Triston McKenzie,SP,"$707,100"
Nick Gordon,SS,"$706,800"
Riley Adams,C,"$706,700"
Andres Gimenez,2B,"$706,600"
Jake Cousins,RP,"$706,400"
Jake Rogers,C,"$706,300"
Michael Brosseau,3B,"$706,300"
Trent Thornton,RP,"$706,200"
Bailey Ober,SP,"$706,200"
Jarred Kelenic,LF,"$706,200"
Keegan Thompson,SP,"$706,000"
Gavin Sheets,DH,"$706,000"
Bryan De La Cruz,CF,"$706,000"
Dean Kremer,SP,"$705,500"
Ramon Urias,3B,"$705,500"
Edward Olivares,OF,"$705,500"
Yu-Cheng Chang,SS,"$705,400"
Matt Manning,SP,"$705,300"
Lars Nootbaar,OF,"$705,200"
Keston Hiura,2B,"$705,100"
Hoby Milner,RP,"$705,100"
Justin Steele,SP,"$705,000"
Cionel Perez,RP,"$705,000"
Seth Brown,LF,"$705,000"
Cole Irvin,SP,"$705,000"
James Kaprielian,SP,"$705,000"
A.J. Puk,RP/CL,"$705,000"
Max Kranick,SP,"$705,000"
Nick Mears,RP,"$705,000"
Zach Thompson,RP,"$705,000"
Yonathan Daza,CF,"$705,000"
Miguel Yajure,RP,"$705,000"
Daniel Castano,SP,"$705,000"
Javier Guerra,RP,"$704,900"
Rony Garcia,SP,"$704,800"
Aaron Ashby,SP,"$704,500"
Garrett Stubbs,C,"$704,500"
Tyler Wells,SP,"$704,500"
Adrian Morejon,RP,"$704,500"
Joe Barlow,RP,"$704,000"
Matt Vierling,OF,"$704,000"
Ryan McKenna,CF,"$704,000"
Cody Poteet,RP,"$704,000"
Jose Siri,CF,"$704,000"
Taylor Walls,SS,"$704,000"
Chas McCormick,CF,"$703,800"
Camilo Doval,RP/CL,"$703,750"
Sammy Long,RP,"$703,750"
Alex Lange,RP/CL,"$703,700"
Daniel Lynch,SP,"$703,600"
Josiah Gray,SP,"$703,500"
Trevor Stephan,RP,"$703,400"
Bailey Falter,SP,"$703,000"
Sean Guenther,RP,"$703,000"
Dylan Carlson,RF,"$703,000"
Anthony Gose,RP,"$702,900"
Cal Raleigh,C,"$702,900"
Gilberto Celestino,LF,"$702,850"
Jose Barrero,SS,"$702,500"
Tony Santillan,RP,"$702,500"
Art Warren,RP,"$702,500"
Stephen Ridings,RP,"$702,500"
Michael Rucker,RP,"$702,500"
Sam Hentges,RP,"$702,500"
Jake McCarthy,OF,"$702,400"
Justin Topa,RP,"$702,200"
Mason Thompson,RP,"$702,200"
Eli Morgan,RP,"$702,100"
Kent Emanuel,RP,"$702,000"
Lucas Gilbreath,RP,"$702,000"
Connor Joe,LF,"$702,000"
Alan Trejo,SS,"$702,000"
Kutter Crawford,SP,"$702,000"
Kyle Isbel,RF,"$701,900"
Nick Sandlin,RP,"$701,700"
Joshua Palacios,CF,"$701,700"
Joe Ryan,SP,"$701,650"
Scott Effross,RP,"$701,500"
Alfonso Rivas,1B,"$701,500"
Jason Foley,RP,"$701,400"
Keibert Ruiz,C,"$701,300"
Geraldo Perdomo,SS,"$701,300"
Brendan McKay,SP,"$701,200"
Owen Miller,1B,"$701,100"
Shane Baz,SP,"$701,100"
Mickey Moniak,CF,"$701,000"
Mike Baumann,RP,"$701,000"
Ernie Clement,2B,"$700,800"
Dylan Coleman,RP,"$700,650"
Bryan Baker,RP,"$700,500"
Jhon Romero,RP,"$700,400"
Otto Lopez,SS,"$700,200"
Matt Brash,RP,"$700,100"
Darwinzon Hernandez,RP,"$700,000"
Zack Kelly,RP,"$700,000"
Rosman Verdugo,SS,"$700,000"
Jonathan Aranda,1B,"$700,000"
Kaleb Ort,RP,"$700,000"
John Schreiber,RP,"$700,000"
Chase Anderson,SP,"$700,000"
Graham Ashcraft,SP,"$700,000"
Canaan Smith-Njigba,LF,"$700,000"
Shawn Armstrong,RP,"$700,000"
Fernando Cruz,RP,"$700,000"
Connor Wong,C,"$700,000"
Alexis Diaz,RP/CL,"$700,000"
Eric Stout,RP,"$700,000"
Jose Azocar,OF,"$700,000"
Christian Bethancourt,C,"$700,000"
Jhonathan Diaz,SP,"$700,000"
Jack Suwinski,LF,"$700,000"
Vidal Brujan,2B,"$700,000"
Stuart Fairchild,OF,"$700,000"
Luis Campusano,C,"$700,000"
T.J. Friedl,CF,"$700,000"
Logan O'Hoppe,C,"$700,000"
Ian Gibaut,RP,"$700,000"
Hunter Greene,SP,"$700,000"
Beau Brieske,SP,"$700,000"
Luis Rengifo,2B,"$700,000"
Joel Kuhnel,RP,"$700,000"
Derek Law,RP,"$700,000"
Brandon Dixon,1B,"$700,000"
Nick Lodolo,SP,"$700,000"
Kerry Carpenter,LF,"$700,000"
Alejo Lopez,2B,"$700,000"
Willi Castro,SS,"$700,000"
Livan Soto,SS,"$700,000"
Connor Overton,RP,"$700,000"
Kody Clemens,2B,"$700,000"
Michael Stefanic,2B,"$700,000"
Matt Reynolds,3B,"$700,000"
Brendon Davis,SS,"$700,000"
Matt Thaiss,1B,"$700,000"
Chuckie Robinson,C,"$700,000"
Angel De Jesus,RP,"$700,000"
Austin Romine,C,"$700,000"
Reiver Sanmartin,RP,"$700,000"
Bryan Garcia,RP,"$700,000"
Mike Siani,OF,"$700,000"
Riley Greene,CF,"$700,000"
Andrew Velazquez,SS,"$700,000"
Garrett Hill,SP,"$700,000"
Spencer Steer,SS,"$700,000"
Ryan Kreidler,SS,"$700,000"
Nash Walters,SP,"$700,000"
Andrew Wantz,RP,"$700,000"
Daniel Norris,RP,"$700,000"
Zack Weiss,RP,"$700,000"
Jackie Bradley Jr.,CF,"$700,000"
Rob Zastryzny,RP,"$700,000"
Vinny Capra,SS,"$700,000"
Isaac Paredes,3B,"$700,000"
Spencer Torkelson,1B,"$700,000"
Will Vest,RP,"$700,000"
Rene Pinto,C,"$700,000"
Steven Wilson,RP,"$700,000"
Colin Poche,RP,"$700,000"
Roman Quinn,CF,"$700,000"
A.J. Alexy,RP,"$700,000"
Gabriel Moreno,C,"$700,000"
Jason Alexander,RP,"$700,000"
Silvino Bracho,RP,"$700,000"
Ryan Thompson,RP,"$700,000"
Jandel Gustave,RP,"$700,000"
Zach Pop,RP,"$700,000"
Alex Jackson,C,"$700,000"
